country,county,unit_name,unit_uid,unit_code,unit _type
Kenya,Nyamira County,Nyamira North Sub County,v5qbFUgfIoF,KE_SubCounty_3180,Subcounty
Kenya,Nyamira County,Nyamira Sub County,cxjRPbvhjzr,KE_SubCounty_3181,Subcounty
Kenya,Kisumu County,Nyando Sub County,iRK9uABUTVZ,KE_SubCounty_3064,Subcounty
Kenya,Kisii County,Nyaribari Chache Sub County,fFh3beH29fD,KE_SubCounty_3055,Subcounty
Kenya,Kisii County,Nyaribari Masaba Sub County,A6Sj8RumZ0m,KE_SubCounty_3056,Subcounty
Kenya,Migori County,Nyatike Sub County,D2lsuEzZAJP,KE_SubCounty_3121,Subcounty
Kenya,Nyeri County,Nyeri Central Sub County,GXnD5lHeanK,KE_SubCounty_3189,Subcounty
Kenya,Nyeri County,Nyeri South Sub County,dd7jowvUO95,KE_SubCounty_3191,Subcounty
Kenya,Nyandarua County,Oljoroorok Sub County,fVSw60UAC3W,KE_SubCounty_3185,Subcounty
Kenya,Nyandarua County,Olkalou Sub County,Lm9RMwhIu3G,KE_SubCounty_3186,Subcounty
Kenya,West Pokot County,Pokot Central Sub County,SCbMzaOeTuR,KE_SubCounty_3246,Subcounty
Kenya,West Pokot County,Pokot North Sub County,YXpHG1Ez8V2,KE_SubCounty_3245,Subcounty
Kenya,West Pokot County,Pokot South Sub County,u2zJahNiSP5,KE_SubCounty_3244,Subcounty
Kenya,Kilifi County,Rabai Sub County,hJf4rt7cvI6,KE_SubCounty_3044,Subcounty
Kenya,Homa Bay County,Rachuonyo South Sub County,NhsAMiaS0TD,KE_SubCounty_3002,Subcounty
Kenya,Homa Bay County,Rangwe Sub County,iK2Jk2AxhlD,KE_SubCounty_2999,Subcounty
Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,KE_SubCounty_3200,Subcounty
Kenya,Nakuru County,Rongai Sub County,OK0hW8DFHq3,KE_SubCounty_3159,Subcounty
Kenya,Migori County,Rongo Sub County,fT37q3rXQ35,KE_SubCounty_3126,Subcounty
Kenya,Nairobi County,Roysambu Sub County,j7GpbairCOi,KE_SubCounty_3150,Subcounty
Kenya,Nairobi County,Ruaraka Sub County,Cc8uEFkzfVf,KE_SubCounty_3148,Subcounty
Kenya,Kiambu County,Ruiru Sub County,TPRNJqSm4lK,KE_SubCounty_3036,Subcounty
Kenya,Embu County,Runyenjes Sub County,kMSLkN4nsRl,KE_SubCounty_2986,Subcounty
Kenya,Vihiga County,Sabatia Sub County,urtJSF5jcBC,KE_SubCounty_3236,Subcounty
Kenya,Trans Nzoia County,Saboti Sub County,y2M16lesMsF,KE_SubCounty_3217,Subcounty
